,ae,term_code,term,samp_id,term_llt_or_pt
149,asleep,10041349,somnolence,344939998807736320,somnolence
150,whacks me out,10041349,somnolence,344939998807736320,somnolence
151,torn faced,10023000,irritability,345624026254823424,irritable
152,slept aw day,10011865,somnolence,345624026254823424,daytime sleepiness
153,swollen feet,10042693,peripheral swelling,345624026254823424,swelling of feet
154,knocked on my ass,10016256,fatigue,347733883208486912,fatigue
155,sick,10016365,malaise,351782926419111939,feeling sick
156,sleep for dayyssss,10041000,hypersomnia,333020420204797952,sleep excessive
157,fatigue,10016256,fatigue,342594933162647553,fatigue
158,back pain,10003988,back pain,345442816945713152,back pain
159,all nighter,10041001,insomnia,344453727299702785,sleep loss
160,tweaking,10070679,feeling abnormal,347958800189362177,feeling stoned
161,feeling like a train wreck,10016370,malaise,347958800189362177,feeling unwell
162,headache,10019211,headache,341695280397291520,headache
163,horrid imposing dream,10004063,nightmare,326817604373200896,bad dreams
164,sleep,10041349,somnolence,348896272700293121,somnolence
165,hangover,10019136,hangover,348896272700293121,hangover effect
166,urinary track infections,10046571,urinary tract infection,344868452034560000,urinary tract infection
167,breath smells,10006325,breath odour,341606023297134592,breath odor
168,dizziness,10013573,dizziness,342708050160934912,dizziness
169,sleep for 12 hours,10041000,hypersomnia,342305559216807936,sleep excessive
170,feel like crap,10016370,malaise,349341615682371586,feeling unwell
171,sleep for like 12 hours,10041000,hypersomnia,340690595683106816,sleep excessive
172,unconscious,10041349,somnolence,333799489687154688,somnolence
173,sedated ,10039897,sedation,333799489687154688,sedation
174,lose my temper,10010085,aggression,334005655155380224,combative reaction
175,tweaking,10070679,feeling abnormal,342722384723316737,feeling stoned
176,wrecked,10016370,malaise,347410750572228608,feeling unwell
177,bombed,10070679,feeling abnormal,348906168556605440,feeling stoned
178,sleep all the time,10041349,somnolence,348906168556605440,somnolence
179,after-sting,10058683,injection site pain,348895818603958272,injection site stinging
180,dries mouth,10013781,dry mouth,342024276129492992,dry mouth
181,put on weight,10047896,weight increased,344384631027675136,weight gain
182,flare,10060732,rheumatoid arthritis,348889890047537152,rheumatoid arthritis flare up
183,sleepy,10041018,somnolence,342128993094496257,sleepy
184,don't have the energy,10024862,asthenia,351577305480564737,loss of energy
185,withdrawals,10073281,withdrawal syndrome,351577305480564737,withdrawal symptom
186,gain 20 lbs,10047896,weight increased,350677722617487361,weight gain
187,acne,10000496,acne,350677722617487361,acne
188,depression,10012378,depression,343388798903795712,depression
189,get the horn my life,10024870,loss of libido,333121777909760000,loss of libido
190,hide in the apartment,10001502,agoraphobia,332988218192588800,agoraphobia
191,see shapes,10047545,visual impairment,329024897097555968,visual disturbances
192,inability to cry,10071175,emotional poverty,343481297446006784,lack of feeling emotions
193,dry eyed,10071175,emotional poverty,343481297446006784,lack of feeling emotions
194,food just looks/sounds/tastes fucking disgusting,10049238,food aversion,342161058653405184,food aversion
195,barely keep my eyes open,10041014,somnolence,341743389018050560,sleepiness
196,reacted badly,10016370,malaise,344173110209179648,feeling unwell
197,mentally drained,10076757,mental fatigue,348456216663580673,mental fatigue
198,physically,10015667,fatigue,348456216663580673,exhaustion
199,need to sleep 24/7,10041000,hypersomnia,342662725165543426,sleep excessive
200,feel so ick,10016370,malaise,349382072810483712,feeling unwell
201,dizzing,10013580,dizziness,349382072810483712,dizzy
202,headaches,10019211,headache,350332912530505728,headache
203,yawn,10048231,yawning,350332912530505728,yawn
204,sick,10016365,malaise,349033495026343936,feeling sick
205,not hungry,10003028,decreased appetite,345958089830301696,appetite lost
206,ready for bed but vyvanse is saying no,10022437,insomnia,341784793559752704,insomnia
207,forciblynocturnal,10022437,insomnia,341784793559752704,insomnia
208,shooting pains down arms &amp; legs,10050007,pain,349455785308327936,shooting pain
209,body ache,10000424,pain,349455785308327936,ache
210,shooting pains down arms,10050007,pain,349455785308327936,shooting pain
211,zombie,10016384,feeling abnormal,354178409426993153,felt like a zombie
212,pinsandneedles,10035067,paraesthesia,327741473003028480,pins and needles
213,depressed,10012378,depression,344309040282734593,depression
214,grind my teeth,10043176,bruxism,342452289723850753,teeth grinding
215,insomnia,10022437,insomnia,340503446417469441,insomnia
216,deliriousness,10012217,delirium,340503446417469441,delirious
217,confusion,10010300,confusional state,340503446417469441,confusion
218,nauesousness,10028823,nausea,340503446417469441,nauseous
219,withdrawal,10073281,withdrawal syndrome,340503446417469441,withdrawal symptom
220,addictive,10012336,drug dependence,347883700345782272,dependence addictive
221,feel like you're on your death bed,10016370,malaise,351490248078929920,feeling unwell
222,hairloss,10019045,alopecia,349533528146460672,hair loss
223,irritable,10023000,irritability,342013098854580227,irritable
224,rash,10037844,rash,342775921243209728,rash
225,haven't ate,10003028,decreased appetite,342066984902610946,appetite lost
226,discontinuation syndrome,10048010,withdrawal syndrome,349178019979603970,withdrawal syndrome
227,addiction,10001125,dependence,349200805745803264,addiction
228,nap,10011865,somnolence,340258151511248896,daytime sleepiness
229,heart was hurting,10008479,chest pain,343835405096980480,chest pain
230,vampire,10022437,insomnia,340451551766274049,insomnia
231,tiredness,10043890,fatigue,351384490100260864,tiredness
232,sleeping 15 hrs,10041000,hypersomnia,342119662651334656,sleep excessive
233,crazy dreams,10004969,abnormal dreams,332241130353745920,bizarre dreams
234,addiction,10001125,dependence,349252013076393985,addiction
235,want to be sick,10028813,nausea,350030395225542656,nausea
236,eat a lot,10021654,increased appetite,348999263306522624,increased appetite
237,irritated,10016337,irritability,343154435695980547,feeling irritated
238,can't think as fast,10041049,bradyphrenia,343154435695980547,slowed thinking
239,lungs,10025082,lung disorder,347950374063329280,lung disorder
240,thyroid,10043709,thyroid disorder,347950374063329280,thyroid disorder
241,connective tissue,10061087,connective tissue disorder,347950374063329280,connective tissue disorder
242,weight gain,10047896,weight increased,341150339455672320,weight gain
243,no sleep,10041001,insomnia,344757173085151232,sleep loss
244,not sleeping,10012804,insomnia,343266557956333568,difficulty sleeping
245,hurt,10033371,pain,343109117877026818,pain
246,blew out my arms,10079024,limb injury,343109117877026818,arm injury
247,heels,10033431,pain in extremity,343109117877026818,pain in heel
248,pain,10033371,pain,343109117877026818,pain
249,central nervous system breakdown,10007943,nervous system disorder,332562785970049024,central nervous system disorder
250,binge,10004716,binge eating,333195213197672448,binge eating
251,joint pain,10023222,arthralgia,333195213197672448,joint pain
252,gain weight,10047896,weight increased,333195213197672448,weight gain
253,not dangerous but it is damn unpleasant,10016370,malaise,351400394146070529,feeling unwell
254,weight,10047896,weight increased,327789313175719936,weight gain
255,shivering,10040558,chills,326732768149135360,shivering
256,withdrawal,10073281,withdrawal syndrome,326732768149135360,withdrawal symptom
257,limbs ached,10000448,pain in extremity,326732768149135360,aching in limb
258,instability,10022454,affect lability,342843798554046464,instability emotional
259,mixed episodes,10065032,bipolar i disorder,342843798554046464,mixed manic depressive episode
260,put much weight on,10047896,weight increased,327790926812561409,weight gain
261,withdrawl,10073281,withdrawal syndrome,332322723286114304,withdrawal symptom
262,hurts,10033371,pain,349715812195643393,pain
263,barely function,10027372,mental impairment,350429791851261952,mental function decreased
264,bad dreams,10004063,nightmare,331161461122547712,bad dreams
265,withdrawl,10073281,withdrawal syndrome,340660708364677120,withdrawal symptom
266,you are so horny and i am not,10024870,loss of libido,332738112079937536,loss of libido
267,won't sleep,10041001,insomnia,328219079762653184,sleep loss
268,"smelled"""" a pungent solvent odor",10042165,parosmia,351520573777641473,strange smell sensation
269,smell,10042165,parosmia,351520573777641473,strange smell sensation
270,pins &amp; needles,10035067,paraesthesia,348218989199118336,pins and needles
271,tired,10043890,fatigue,346310712622194688,tiredness
272,vertigo,10047340,vertigo,340867974783193088,vertigo
273,vomit,10047700,vomiting,343130110569873409,vomiting
274,migraines,10027599,migraine,343130110569873409,migraine
275,orgasm,10021574,anorgasmia,346097617819799552,inability to orgasm
276,bowels,10054248,abdominal discomfort,350969549681725440,bowel discomfort
277,pale,10033532,pallor,344118257269211136,pale
278,lost tons of weight,10047900,weight decreased,344118257269211136,weight loss
279,fatigue,10016256,fatigue,344118257269211136,fatigue
280,withdrawal,10073281,withdrawal syndrome,340478422012813314,withdrawal symptom
281,pain,10033371,pain,333199163514843137,pain
282,withdraw,10073281,withdrawal syndrome,340260393526104064,withdrawal symptom
283,sleep for days,10041000,hypersomnia,348355774642266112,sleep excessive
284,sleep for days,10041349,somnolence,348355774642266112,somnolence
285,heart attack,10019300,heart rate abnormal,341951245457702912,heart rate abnormal
286,ejaculate,10021574,anorgasmia,351476009989705728,inability to orgasm
287,addiction,10001125,dependence,353061725102280705,addiction
288,dizzy,10013580,dizziness,344084347239944192,dizzy
289,allergic reaction,10001718,hypersensitivity,342763086056419329,allergic reaction
290,almost killed me,10068111,near death experience,342763086056419329,near death experience
291,flu symptoms,10016791,influenza like illness,345249387125018624,flu like symptoms
292,cant keep still,10038743,restlessness,345249387125018624,restlessness
293,coming off,10013754,drug withdrawal syndrome,345249387125018624,drug withdrawal syndrome
294,nausea,10028813,nausea,345249387125018624,nausea
295,hangover,10019136,hangover,345249387125018624,hangover effect
296,sweatin,10042661,hyperhidrosis,342326445126844418,sweating
297,hairloss,10019045,alopecia,342481261618667521,hair loss
298,ocd,10029898,obsessive-compulsive disorder,344204109789933568,obsessive-compulsive disorder
299,nosleep,10041001,insomnia,345052662800191489,sleep loss
300,hangovers,10019136,hangover,333034270115377153,hangover effect
301,gain 18 kg,10047896,weight increased,333034145846538240,weight gain
302,shouldn't wake up,10041349,somnolence,350232501215707137,somnolence
303,can't eat,10003017,decreased appetite,342382265134891009,appetite absent
304,crippled,10049278,gait inability,333278830980648960,unable to walk
305,disable,10049278,gait inability,333278830980648960,unable to walk
306,boobs humungous,10014843,breast enlargement,354334544473751552,enlargement breast female
307,prolactin,10036828,blood prolactin increased,354334544473751552,prolactin levels increased
308,17h sleep,10041000,hypersomnia,341989840398716928,sleep excessive
309,nausea,10028813,nausea,352869424174342144,nausea
310,withdrawals,10073281,withdrawal syndrome,351834238540185600,withdrawal symptom
311,stopped working,10043087,tachyphylaxis,341767317392326659,tachyphylaxis
312,gained 50,10047896,weight increased,345579805963587589,weight gain
313,dizzy,10013580,dizziness,332975105347035136,dizzy
314,lightheadeded ,10024492,dizziness,332975105347035136,lightheadedness
315,lost vision,10047522,blindness,342314998904786945,vision loss
316,withdrawal,10048010,withdrawal syndrome,342314998904786945,withdrawal syndrome
317,space me out,10010251,disturbance in attention,329211485068881920,concentration loss
318,angry,10002368,anger,330385145972543488,anger
319,awake,10041001,insomnia,330385145972543488,sleep loss
320,tired,10043890,fatigue,347814900548132865,tiredness
321,symptoms of schizophrenia,10027372,mental impairment,351125191423832067,mental function decreased
322,insomnia,10022437,insomnia,351634675959205888,insomnia
323,memory loss,10027176,amnesia,346238446173577218,memory loss
324,zombie,10016384,feeling abnormal,352974009723387906,felt like a zombie
325,hating the world,10023000,irritability,352974009723387906,irritable
326,nauseous,10028823,nausea,342322703556038657,nauseous
327,lupus flare,10065992,systemic lupus erythematosus,349252454535274498,sle flare
328,felt like acid,10006784,burning sensation,349252454535274498,burning sensation
329,cotton mouth,10013781,dry mouth,342342649015070720,dry mouth
330,withdrawal ,10073281,withdrawal syndrome,345390703238594560,withdrawal symptom
331,sleeping my life away,10041000,hypersomnia,342989392538923008,sleep excessive
332,appetite is still terrible,10003030,decreased appetite,344457086429708290,appetite suppressed
333,sleep,10040995,sleep disorder,345286735330177024,sleep disturbance
334,tendonitis,10043255,tendonitis,332546823447248896,tendonitis
335,tired,10043890,fatigue,332882069376086016,tiredness
336,sick,10016365,malaise,342452668922462208,feeling sick
337,zombie-ness,10016384,feeling abnormal,350666666436345856,felt like a zombie
338,gained over 20 lbs,10047896,weight increased,345334049679753216,weight gain
339,burping,10006804,eructation,331981886991785984,burping
340,ocd,10029898,obsessive-compulsive disorder,344616533332467713,obsessive-compulsive disorder
341,heart rate,10019304,heart rate irregular,353360876373409795,heart rate irregular
342,feeling like absolute shit,10016370,malaise,328108880250957825,feeling unwell
343,walking dead,10016384,feeling abnormal,331087510249828353,felt like a zombie
344,weightgain,10047896,weight increased,344099735004643330,weight gain
345,gain weight,10047896,weight increased,346677268946501632,weight gain
346,hurt,10033371,pain,348599627009896448,pain
347,lethargic,10024262,lethargy,340520477078458368,lethargic
348,random crying,10011469,crying,342113162528690178,crying
349,withdrawal,10073281,withdrawal syndrome,340694457827618816,withdrawal symptom
350,pain in my joints,10033434,arthralgia,343614935055613952,pain in joint
351,nightmare,10029412,nightmare,353040661651529728,nightmare
352,yawning,10048232,yawning,342474245466636290,yawning
353,fat.,10047896,weight increased,329316938452971520,weight gain
354,brain is melting,10027374,mental impairment,342312023612346369,mental impairment
355,sun sensitivity,10042494,photosensitivity reaction,353449992440123395,sun sensitivity
356,horrible sleep,10040995,sleep disorder,341985679204560898,sleep disturbance
357,nightmares,10029414,nightmare,345964683720814592,nightmares
358,withdrawal,10073281,withdrawal syndrome,348986300742909952,withdrawal symptom
359,sleepy,10041018,somnolence,348547192899923968,sleepy
360,"just eat, and eat",10021654,increased appetite,350434208805695489,increased appetite
361,addict,10012336,drug dependence,344896209737105409,dependence addictive
362,destroy myself,10043498,self-injurious ideation,341358849598562304,thoughts of self harm
363,rash,10037844,rash,342614476702494722,rash
364,neck ache,10028831,musculoskeletal discomfort,344733595103002624,neck discomfort
365,limping ,10058726,gait disturbance,344733595103002624,limping
366,weak knees,10047862,asthenia,344733595103002624,weakness
367,back pain,10003988,back pain,344733595103002624,back pain
368,shoulder,10040617,arthralgia,344733595103002624,shoulder pain
369,headache,10019211,headache,344733595103002624,headache
370,lower back pain,10024891,back pain,344733595103002624,low back pain
371,limping,10058726,gait disturbance,344733595103002624,limping
372,back ache,10003978,back pain,343826721545527298,back ache
373,brain shivers,10014358,paraesthesia,343828151400554496,electric shock sensation
374,withdrawal,10048010,withdrawal syndrome,343828151400554496,withdrawal syndrome
375,rash,10037844,rash,345549620342034434,rash
376,needing my inhaler,10006338,dyspnoea,341353517811900416,breathing difficult
377,allergic,10001718,hypersensitivity,341353517811900416,allergic reaction
378,rash ,10037844,rash,341353517811900416,rash
379,fog,10016876,feeling abnormal,332574327444746240,foggy feeling in head
380,sleepy,10041018,somnolence,332574327444746240,sleepy
381, tired,10043890,fatigue,332574327444746240,tiredness
382,burnt,10042494,photosensitivity reaction,353979581033750530,sun sensitivity
383,withdrawal,10073281,withdrawal syndrome,340300895780757504,withdrawal symptom
384,sleep 12 hours,10041000,hypersomnia,353643138826510336,sleep excessive
385,sick,10016365,malaise,349385477150879746,feeling sick
386,nearly killed me,10068111,near death experience,349785645192982528,near death experience
387,withdrawal,10073281,withdrawal syndrome,341813665302990848,withdrawal symptom
388,loss of appetite,10003028,decreased appetite,340638766215622656,appetite lost
389,add,10001118,attention deficit hyperactivity disorder,341962640240828417,add
390,attention-killing,10003738,disturbance in attention,341962640240828417,attention impaired
391,numbing,10071175,emotional poverty,332972801034182656,lack of feeling emotions
392,get out of bed ,10041349,somnolence,343248815844913153,somnolence
393,hallucinate,10019063,hallucination,349581089221787648,hallucination
394,sleepies,10041014,somnolence,332778502946426880,sleepiness
395,hotflashes,10020407,hot flush,350855673002729472,hot flashes
396,aches,10000424,pain,346616563677425665,ache
397, burns,10006774,eye irritation,332278485278134274,burning eyes
398,hypomania,10021030,hypomania,345626164481634304,hypomania
399, withdrawls,10073281,withdrawal syndrome,340291748402192384,withdrawal symptom
400,withdrawals,10073281,withdrawal syndrome,349507022057766912,withdrawal symptom
401,angry,10002368,anger,343499670053584896,anger
402,over think,10067192,tachyphrenia,343499670053584896,racing thoughts
403,tired,10043890,fatigue,342974071161643008,tiredness
404,think too much,10067192,tachyphrenia,344256177779122176,racing thoughts
405,all nighter,10022437,insomnia,344503156161515520,insomnia
406,addiction,10001125,dependence,343095658779127808,addiction
407,withdrawal,10073281,withdrawal syndrome,340249316469907456,withdrawal symptom
408,withdrawals,10073281,withdrawal syndrome,348698825512321024,withdrawal symptom
409,dreadful nights sleep,10040999,sleep disorder,333185474300620800,sleep disturbed
410,joint pain,10023222,arthralgia,333185474300620800,joint pain
411,hangover,10019136,hangover,354262122399674369,hangover effect
412,dry eyes,10013778,dry eye,354262122399674369,dry eyes
413,hungry,10016336,hunger,349659449692139520,feeling hungry
414,able to sleep at night,10012804,insomnia,351410557112434688,difficulty sleeping
415,brain so retarded,10027374,mental impairment,353069706330124288,mental impairment
416,bloodbath,10005103,haemorrhage,347462639066157057,bleeding
417,withdrawn ,10048013,social avoidant behaviour,350167875132194816,withdrawn
418,septic c diff,10054177,clostridial sepsis,341688886319271936,clostridium difficile sepsis
419,weight gain,10047896,weight increased,350636755659141121,weight gain
420,zombie,10016384,feeling abnormal,350215594777387009,felt like a zombie
421,addictive,10012336,drug dependence,332480409654943744,dependence addictive
422,restlesslegs,10038742,restless legs syndrome,345318152424546304,restless legs
423,drowsy,10013649,somnolence,351395434624856064,drowsiness
424,munchies,10016336,hunger,331437863528972288,feeling hungry
425,not being able to fit into summer wardrobe,10047896,weight increased,331437863528972288,weight gain
426,addicted,10012336,drug dependence,340329390070173696,dependence addictive
427,3 days of hell,10016370,malaise,351294528705134592,feeling unwell
428,addictive,10012336,drug dependence,351294528705134592,dependence addictive
429,weak knees,10047862,asthenia,345166429974327297,weakness
430,lower back ache,10024890,back pain,345166429974327297,low back ache
431,aches,10000424,pain,345166429974327297,ache
432,headache,10019211,headache,340944956237692928,headache
433,withdrawls,10073281,withdrawal syndrome,340944956237692928,withdrawal symptom
434,working any more,10043087,tachyphylaxis,349708387447083009,tachyphylaxis
435,withdrawl,10048010,withdrawal syndrome,344267687582642177,withdrawal syndrome
436,rant,10002368,anger,344267687582642177,anger
437,panic attack,10033664,panic attack,351842240701792256,panic attack
438,like i'm having a heart attack,10019300,heart rate abnormal,351842240701792256,heart rate abnormal
439,fuck with your head,10027374,mental impairment,342294447725375488,mental impairment
440,headaches,10019211,headache,328896519174504449,headache
441,withdrawl,10073281,withdrawal syndrome,350167409312800768,withdrawal symptom
442,memory damage,10027175,memory impairment,350167409312800768,memory impairment
443,stopped working,10043087,tachyphylaxis,354321976845807617,tachyphylaxis
444,back to sleep,10040995,sleep disorder,342649393196978177,sleep disturbance
445,cravings,10056484,nicotine dependence,340294493112782848,nicotine craving
446,groggy,10018730,somnolence,341779643747143681,groggy
447,wont wake,10019158,somnolence,341779643747143681,hard to awaken
448,killed my libido,10024870,loss of libido,348555717113942016,loss of libido
449,gaining weight,10047896,weight increased,346575368041410561,weight gain
450,feel like death,10016370,malaise,350779886958424065,feeling unwell
451,gain unwanted pounds,10047896,weight increased,349892793587613697,weight gain
452,water weight,10047839,fluid retention,349892793587613697,water retention
453,with drawls,10073281,withdrawal syndrome,342284689148624898,withdrawal symptom
454,gained weight,10047896,weight increased,346389146169905152,weight gain
455,no appetite,10003028,decreased appetite,332156923002617859,appetite lost
