,ae,term_code,term,samp_id,term_llt_or_pt
118,allergic reaction ,10001718,hypersensitivity,352934996970967040,allergic reaction
119,zombified,10016384,feeling abnormal,347360872278151168,felt like a zombie
120,worsening pain,10033499,pain,345577264949379072,pain worsened
121,dreadful nights sleep,10040999,sleep disorder,333185474300620800,sleep disturbed
122,joint pain,10023222,arthralgia,333185474300620800,joint pain
123,withdrawl,10073281,withdrawal syndrome,332322723286114304,withdrawal symptom
124,might notice if i got hit in the crotch w/ a lance in a jousting accident,10024870,loss of libido,332946951085645824,loss of libido
125,vision blurry,10005889,vision blurred,350418647476469760,blurry vision
126,nausea,10028813,nausea,331500382746472448,nausea
127,hardly open or close your mouth,10039897,sedation,349931566463590404,sedation
128,random crying,10011469,crying,342113162528690178,crying
129,shaky,10040528,tremor,329969145821163520,shaking
130,tired,10043890,fatigue,329969145821163520,tiredness
131,withdrawal,10073281,withdrawal syndrome,329969145821163520,withdrawal symptom
132,nosleep,10041017,insomnia,352345175932145664,sleeplessness
133,palpitations,10033557,palpitations,347552147954622464,palpitations
134,racing heart,10019303,heart rate increased,347552147954622464,heart rate increased
135,sleeping schedule of a vampire,10041017,insomnia,342537091495895040,sleeplessness
136,vertigo,10047340,vertigo,343745558382522369,vertigo
137,dry mouth,10013781,dry mouth,331501881933312000,dry mouth
138,jaw clenching,10057326,bruxism,332853469503442944,teeth clenching
139,keeping me up,10041001,insomnia,342113962495721472,sleep loss
140,pain in neck,10028836,neck pain,346484694344413185,neck pain
141,hips,10033432,arthralgia,346484694344413185,pain in hip
142,legs,10033522,pain in extremity,346484694344413185,pains in legs
143,all nighter,10041001,insomnia,344453727299702785,sleep loss
144,fatigue,10016256,fatigue,342594933162647553,fatigue
145,hangover,10019136,hangover,343374668801138688,hangover effect
146,sleep for days,10041000,hypersomnia,348355774642266112,sleep excessive
147,sleep for days,10041349,somnolence,348355774642266112,somnolence
148,passes out,10034100,loss of consciousness,342787990747230211,passed out
149,jacked up,10001495,agitation,341922380823793665,agitated
150,impotency,10021550,erectile dysfunction,352848888790654976,impotence
151,unconscious,10041349,somnolence,333799489687154688,somnolence
152,sedated ,10039897,sedation,333799489687154688,sedation
153,look like a whale,10047896,weight increased,341254984349908994,weight gain
154,taste,10043132,taste disorder,353492546833498112,taste disturbance
155,overheating,10005911,body temperature increased,347488934407852032,body temperature increased
156,can't go back to sleep,10041001,insomnia,344898461449199618,sleep loss
157,ataxia,10003591,ataxia,346641300092768257,ataxia
158,neuro problems,10029298,nervous system disorder,346641300092768257,neurological disorder nos
159,restless leg syndrome ,10038741,restless legs syndrome,342043859523600384,restless leg syndrome
160,coming off it,10048010,withdrawal syndrome,340328381679812608,withdrawal syndrome
161,want to sleeeeep,10022437,insomnia,342157040875106304,insomnia
162,put on weight,10047896,weight increased,332450567819497472,weight gain
163,brain zaps,10033775,paraesthesia,341598226094383104,paraesthesia
164,fucked up dreams,10000125,abnormal dreams,342637586717765633,abnormal dreams
165,sick,10016365,malaise,345241637078847489,feeling sick
166,zombie,10016384,feeling abnormal,344013339350929408,felt like a zombie
167,withdrawl,10073281,withdrawal syndrome,349607304951373826,withdrawal symptom
168,can't sleep,10041001,insomnia,351027118215413761,sleep loss
169,acne,10000496,acne,352138946559479808,acne
170,gorked,10016322,feeling abnormal,333787466597285888,feeling abnormal
171,weight i put on,10047896,weight increased,349959820444573696,weight gain
172,withdrawals,10073281,withdrawal syndrome,340273617654923265,withdrawal symptom
173,steven johnson syndrome,10042030,stevens-johnson syndrome,341876837900746752,stevens johnson syndrome
174,impotency,10021550,erectile dysfunction,352844700597764096,impotence
175,holes in my head,10027374,mental impairment,349165462417977344,mental impairment
176,should ache,10000424,pain,345414952993034241,ache
177,neck,10028836,neck pain,345414952993034241,neck pain
178,knee ache,10000447,arthralgia,345414952993034241,aching in knees
179,back pain,10003988,back pain,345414952993034241,back pain
180,hungover,10019136,hangover,341763429310267392,hangover effect
181,withdrawals,10073281,withdrawal syndrome,351834238540185600,withdrawal symptom
182,numb,10049338,hypoaesthesia oral,341416199181193216,numbness mouth
183,knocked me sidewards,10016256,fatigue,352544481175801856,fatigue
184,rashes,10037844,rash,342393613180862465,rash
185,skin sensitivity,10021681,hyperaesthesia,342393613180862465,increased skin sensitivity
186,feel like i can't even stand,10050218,dysstasia,330960523195736064,difficulty in standing
187,only let me sleep four hours,10040995,sleep disorder,347615048014905345,sleep disturbance
188,withdrawal,10048010,withdrawal syndrome,348748124916965377,withdrawal syndrome
189,saliva,10039379,saliva altered,343924083425161216,saliva altered
190,dry mouth,10013781,dry mouth,343924083425161216,dry mouth
191,tired,10043890,fatigue,340692300143419392,tiredness
192,out of it,10041374,feeling abnormal,340692300143419392,spaced out
193,addicted,10012336,drug dependence,340287660444749825,dependence addictive
194,gain 20 lbs,10047896,weight increased,350677722617487361,weight gain
195,acne,10000496,acne,350677722617487361,acne
196,sleep,10040995,sleep disorder,345286735330177024,sleep disturbance
197,addictive,10012336,drug dependence,347883700345782272,dependence addictive
198,eyeballs make a sound,10070539,hyperacusis,351619134334832641,sound sensitivity increased
199,withdrawal,10073281,withdrawal syndrome,351619134334832641,withdrawal symptom
200,addict,10012336,drug dependence,344896209737105409,dependence addictive
201,hurts,10022086,injection site pain,347326633725800448,injection site pain
202,sucked going from 100mg desvenlafaxine / day to zero,10048010,withdrawal syndrome,353174986690805760,withdrawal syndrome
203,weird,10047904,feeling abnormal,344911702590099456,weird feeling
204,moods are void of stability,10027951,mood swings,340345183008870400,mood swings
205,increase my weight,10047896,weight increased,349181810237898752,weight gain
206,sleep for dayyssss,10041000,hypersomnia,333020420204797952,sleep excessive
207,able to sleep at night,10012804,insomnia,351410557112434688,difficulty sleeping
208,sleepy,10041018,somnolence,342378452453826563,sleepy
209,reacted badly,10016370,malaise,344173110209179648,feeling unwell
210,drowsy,10013649,somnolence,326972731151228928,drowsiness
211,hungry,10016336,hunger,354277272758398977,feeling hungry
212,awake,10022437,insomnia,351870648974446593,insomnia
213,nightmare,10029414,nightmare,351870648974446593,nightmares
214,coming off effexor is not fun,10048010,withdrawal syndrome,348243864877940736,withdrawal syndrome
215,sleep for 12 hours,10041000,hypersomnia,342305559216807936,sleep excessive
216, carb cravings,10007216,food craving,349995143006400514,carbohydrate craving
217,carb cravings,10007216,food craving,349995143006400514,carbohydrate craving
218,munchies,10016336,hunger,331437863528972288,feeling hungry
219,not being able to fit into summer wardrobe,10047896,weight increased,331437863528972288,weight gain
220,numb to feel,10071175,emotional poverty,332114604169773056,lack of feeling emotions
221,rash,10037844,rash,348136954900127744,rash
222,glaucoma,10018304,glaucoma,348136954900127744,glaucoma
223,withdrawals,10073281,withdrawal syndrome,349507022057766912,withdrawal symptom
224,pins &amp; needles,10035067,paraesthesia,348218989199118336,pins and needles
225,pains,10033371,pain,348287743568277504,pain
226,fluid retention,10016807,fluid retention,348287743568277504,fluid retention
227,mouth is painfully dry,10013781,dry mouth,342560740818948096,dry mouth
228,feels like the sahara desert in my mouth,10013781,dry mouth,342560740818948096,dry mouth
229,thirsty,10021689,thirst,342560740818948096,increased thirst
230,stopped working,10043087,tachyphylaxis,341767317392326659,tachyphylaxis
231,falling asleep every day,10011865,somnolence,340420826677522432,daytime sleepiness
232,sleeping 12 hours a night,10041000,hypersomnia,340420826677522432,sleep excessive
233,shooting pains down arms &amp; legs,10050007,pain,349455785308327936,shooting pain
234,body ache,10000424,pain,349455785308327936,ache
235,shooting pains down arms,10050007,pain,349455785308327936,shooting pain
236,miserable,10016342,feeling abnormal,340686873942966273,feeling miserable
237,feel kinda terrible,10016370,malaise,347788913479393280,feeling unwell
238,withdrawal,10048010,withdrawal syndrome,347788913479393280,withdrawal syndrome
239,withdrawal,10073281,withdrawal syndrome,345391029731606529,withdrawal symptom
240,hair falling out,10019045,alopecia,351617714722316288,hair loss
241,hunger inducing,10020466,hunger,328209427842879489,hunger
242,intense dreams,10047666,abnormal dreams,349549083389734912,vivid dreams
243,slept through every alarm,10019158,somnolence,332473148018663424,hard to awaken
244,sleeping my life away,10041000,hypersomnia,342989392538923008,sleep excessive
245,like wading through treacle getting up,10018732,somnolence,327354645095784449,groggy on awakening
246,appetite,10074314,appetite disorder,333422979587395584,appetite fluctuation
247,withdraw,10073281,withdrawal syndrome,340260393526104064,withdrawal symptom
248,feel so drink,10013767,feeling drunk,343238435450015744,drunk-like effect
249,nauseated,10028822,nausea,343238435450015744,nauseated
250,cant really walk,10049278,gait inability,343238435450015744,unable to walk
251,weight,10047896,weight increased,349248724083544064,weight gain
252,cravings,10056465,food craving,354004406896828416,food craving
253,increased appetite,10021654,increased appetite,354004406896828416,increased appetite
254,pinsandneedles,10035067,paraesthesia,327741473003028480,pins and needles
255,doing things difficult,10027348,disturbance in attention,349447249161494530,mental concentration difficulty
256,fall asleep,10041349,somnolence,349447249161494530,somnolence
257,pale,10033532,pallor,344118257269211136,pale
258,lost tons of weight,10047900,weight decreased,344118257269211136,weight loss
259,fatigue,10016256,fatigue,344118257269211136,fatigue
260,sick,10016365,malaise,349033495026343936,feeling sick
261,sleeping,10041349,somnolence,343904497518669824,somnolence
262,burnt,10042494,photosensitivity reaction,353979581033750530,sun sensitivity
263,flat,10016759,flat affect,345455189119102976,flat affect
264,headache,10019211,headache,340944956237692928,headache
265,withdrawls,10073281,withdrawal syndrome,340944956237692928,withdrawal symptom
266,tiredness,10043890,fatigue,351384490100260864,tiredness
267,descent into madness,10027352,mental impairment,346655631157108736,mental deterioration
268,gained over 20 lbs,10047896,weight increased,345334049679753216,weight gain
269,never have another orgasm,10021574,anorgasmia,333697653349179393,inability to orgasm
270,sleeping 15 hrs,10041000,hypersomnia,342119662651334656,sleep excessive
271,legs still weak,10065702,muscular weakness,347521087304785920,weakness in extremity
272,neck pain,10028836,neck pain,347521087304785920,neck pain
273,rage,10037804,anger,343355160136933377,rage
274,hot,10016334,feeling hot,343826203888717825,feeling hot
275,bad dreams,10004063,nightmare,331161461122547712,bad dreams
276,septic c diff,10054177,clostridial sepsis,341688886319271936,clostridium difficile sepsis
277,sleeping 9 hours in the day,10011865,somnolence,333684960886157312,daytime sleepiness
278,groggy in the morning,10018732,somnolence,347149965631553536,groggy on awakening
279,ocd,10029898,obsessive-compulsive disorder,341991007174414336,obsessive-compulsive disorder
280,wired,10001495,agitation,341991007174414336,agitated
281,panic attack,10033664,panic attack,332830369000853504,panic attack
282,dehydrates,10012174,dehydration,351364309042999297,dehydration
283,olanzapine lbs,10047896,weight increased,341262613616943104,weight gain
284,not slept,10041001,insomnia,342900290787373056,sleep loss
285,withdrawals,10073281,withdrawal syndrome,333938862600634370,withdrawal symptom
286,not sleeping,10041017,insomnia,343569840684007424,sleeplessness
287,wired,10041017,insomnia,343569840684007424,sleeplessness
288,sweating,10042661,hyperhidrosis,333744558200475648,sweating
289,don't want to get up,10019158,somnolence,340737923777445890,hard to awaken
290,sick,10016365,malaise,350042686507581440,feeling sick
291,doesn't even work for me anymore,10043087,tachyphylaxis,350042686507581440,tachyphylaxis
292,feet are always going,10038744,restlessness,351686195098558465,restlessness (drug related)
293,twirls her hair constantly,10010219,compulsions,351686195098558465,compulsions
294,zap noises,10014358,paraesthesia,343476427846475776,electric shock sensation
295,comedown is hell,10013754,drug withdrawal syndrome,343476427846475776,drug withdrawal syndrome
296,hurt,10033371,pain,332308454372950016,pain
297,sleeping,10041014,somnolence,331731913159081985,sleepiness
298,knackered when i wake,10018732,somnolence,331731913159081985,groggy on awakening
299,dreams,10000125,abnormal dreams,329832584282513408,abnormal dreams
300,tiered,10043890,fatigue,329643623660519424,tiredness
301,eat so much,10021654,increased appetite,347561124721479681,increased appetite
302,barely function,10027372,mental impairment,350429791851261952,mental function decreased
303,stop spending all of your income in food,10003028,decreased appetite,343447619823095808,appetite lost
304,cry ,10011469,crying,340903633312960512,crying
305,stacked on the weight,10047896,weight increased,333249805876883456,weight gain
306,flu iike symptoms,10016791,influenza like illness,343255526232178688,flu like symptoms
307,sweats,10042661,hyperhidrosis,343255526232178688,sweating
308,shivers,10040559,chills,343255526232178688,shivers
309,aches and pains,10000424,pain,343255526232178688,ache
310,angry,10002368,anger,330385145972543488,anger
311,awake,10041001,insomnia,330385145972543488,sleep loss
312,binge,10004716,binge eating,333195213197672448,binge eating
313,joint pain,10023222,arthralgia,333195213197672448,joint pain
314,gain weight,10047896,weight increased,333195213197672448,weight gain
315,insomnia,10022437,insomnia,332070396104953857,insomnia
316,hating the world,10002368,anger,345297976589172736,anger
317,didn't eat a thing,10003017,decreased appetite,341941862883545089,appetite absent
318,inside i was still screaming,10014554,affect lability,347834378270961664,emotional instability
319,crippled,10049278,gait inability,349211366210539520,unable to walk
320,"you can check in, but you can never leave",10013663,drug dependence,349638554021937154,drug dependence
321,hangovers,10019136,hangover,345725882620579841,hangover effect
322,insomnia,10022437,insomnia,343647552094224384,insomnia
323,restlessness,10038743,restlessness,343647552094224384,restlessness
324,appetite is still terrible,10003030,decreased appetite,344457086429708290,appetite suppressed
325,gained 30 lbs,10047896,weight increased,358295661797572610,weight gain
326,manic,10026782,mania,329617517578444802,manic state
327,zombie,10016384,feeling abnormal,343161902710542337,felt like a zombie
328, withdrawal,10073281,withdrawal syndrome,340345154877673473,withdrawal symptom
329,bone,10036661,priapism,353718423064297473,priapism
330,destroyed my lungs,10025082,lung disorder,351521362562654208,lung disorder
331,chemo,10061758,chemotherapy,351521362562654208,chemotherapy
332,paraesthesia,10033775,paraesthesia,342341320465076225,paraesthesia
333,remembered what food is,10003028,decreased appetite,341771192279105538,appetite lost
334,hyper,10020554,psychomotor hyperactivity,340260780266123264,hyperactive
335,felt like chemo,10006784,burning sensation,334024264187523074,burning sensation
336,pancreatitis,10033645,pancreatitis,344581349547589636,pancreatitis
337,digestive problems,10018028,abdominal discomfort,344581349547589636,gastrointestinal upset
338,depressed,10012378,depression,343362848266797057,depression
339,overreacted,10014559,emotional disorder,343362848266797057,emotional reaction
340,gain alot of weight,10047896,weight increased,342482908101111810,weight gain
341,dead from the waist down,10024870,loss of libido,350041405743316992,loss of libido
342,sleep 12 hours,10041000,hypersomnia,353643138826510336,sleep excessive
343,ill,10021345,malaise,348846174846992384,ill feeling
344,lost 17 pounds,10047900,weight decreased,342548486664896513,weight loss
345,tweaking,10070679,feeling abnormal,342722384723316737,feeling stoned
346,crippled,10049278,gait inability,346242584366161920,unable to walk
347,sick,10016365,malaise,346242584366161920,feeling sick
348,dizzy,10013580,dizziness,346242584366161920,dizzy
349,headache,10019211,headache,353912194167087107,headache
350,sluggish,10041052,sluggishness,340367344461287424,sluggishness
351,mentally drained,10076757,mental fatigue,348456216663580673,mental fatigue
352,physically,10015667,fatigue,348456216663580673,exhaustion
353,sleep paralysis,10041002,sleep paralysis,345762127270793217,sleep paralysis
354,muscle spasms,10028334,muscle spasms,345762127270793217,muscle spasms
355,muscle spasms,10028333,muscle spasms,345762127270793217,muscle spasm
356,making me stupid,10027175,memory impairment,350478954391535616,memory impairment
357,tremors in hands,10044577,tremor,351677046755303424,tremor of hands
358,desperation,10016344,feeling of despair,351677046755303424,feeling of despair
359,body would rock ,10044565,tremor,351677046755303424,tremor
360,tremors in hands and legs,10044565,tremor,351677046755303424,tremor
361,restlessness,10038743,restlessness,351677046755303424,restlessness
362,add,10001118,attention deficit hyperactivity disorder,341962640240828417,add
363,attention-killing,10003738,disturbance in attention,341962640240828417,attention impaired
364,orgasm,10021574,anorgasmia,351474792215494656,inability to orgasm
365,withdrawal,10048010,withdrawal syndrome,349837320029077505,withdrawal syndrome
366,crawl in a hole,10012378,depression,349837320029077505,depression
367,emotional,10014554,affect lability,349837320029077505,emotional instability
368,knee pain,10023477,arthralgia,343860814521962496,knee pain
369,brain zaps,10033775,paraesthesia,346349207214510080,paraesthesia
370,mixed episode,10065032,bipolar i disorder,332545540216729601,mixed manic depressive episode
371,discomfort,10013082,discomfort,333014107940872193,discomfort
372,value your brain cells,10027175,memory impairment,353503396331921409,memory impairment
373,vitamin d malsorption,10047626,vitamin d deficiency,342607933672148992,vitamin d deficiency
374,calcium problems,10006956,calcium deficiency,342607933672148992,calcium deficiency
375,"just eat, and eat",10021654,increased appetite,350434208805695489,increased appetite
376,weird dreams,10000125,abnormal dreams,341063755989409792,abnormal dreams
377,addiction,10001125,dependence,353061725102280705,addiction
378,hairloss,10019045,alopecia,349533528146460672,hair loss
379, withdrawls,10073281,withdrawal syndrome,340291748402192384,withdrawal symptom
380,sweating,10042661,hyperhidrosis,342616686375100416,sweating
381,stomach discomfort,10013087,epigastric discomfort,342616686375100416,discomfort epigastric
382,jaw,10061257,jaw disorder,342616686375100416,jaw disorder
383,flushed,10016821,flushing,342616686375100416,flushed
384,make me a bigger asshole,10034719,personality change,342052382705844224,personality change
385,need to save the world,10012239,delusion,341964046477688832,delusion
386,scared,10016275,fear,341964046477688832,fear
387,bruises,10006502,contusion,353580369704017920,bruise
388,cooked my brain,10027175,memory impairment,343771158736404481,memory impairment
389,lost effectiveness,10043087,tachyphylaxis,341808582465032192,tachyphylaxis
390,pain,10033371,pain,326925921254789120,pain
391,stop breathin,10006338,dyspnoea,344965474938920960,breathing difficult
392,allergic,10001718,hypersensitivity,358354458083729408,allergic reaction
393,face break out,10000496,acne,358354458083729408,acne
394,zombie,10016384,feeling abnormal,347260952837754880,felt like a zombie
395,nocturnal,10041017,insomnia,342476405872939008,sleeplessness
396,brain disorder,10006120,cerebral disorder,342449187138449409,brain disorder nos
397,cannot be in the sun,10042494,photosensitivity reaction,348457714147553280,sun sensitivity
398,high,10016333,euphoric mood,343565430239158272,feeling high
399,feel like throwing up,10028813,nausea,343565430239158272,nausea
400,sinuses close up,10028771,nasal congestion,348258097044807680,nasal stuffiness
401,withdrawal,10073281,withdrawal syndrome,340355984633507840,withdrawal symptom
402,nausea,10028813,nausea,329978561559678977,nausea
403,headache,10019211,headache,329978561559678977,headache
404,diarrhea,10012727,diarrhoea,329978561559678977,diarrhea
405,withdrawal,10073281,withdrawal syndrome,329978561559678977,withdrawal symptom
406,sweats,10042661,hyperhidrosis,329978561559678977,sweating
407,flu symptoms,10016791,influenza like illness,329978561559678977,flu like symptoms
408,ate,10021654,increased appetite,326784616725880832,increased appetite
409,not making me feel so awesome.,10016370,malaise,348569764618186753,feeling unwell
410,"smelled"""" a pungent solvent odor",10042165,parosmia,351520573777641473,strange smell sensation
411,smell,10042165,parosmia,351520573777641473,strange smell sensation
412,flat,10016759,flat affect,329345839392751616,flat affect
413,sleep less,10041001,insomnia,342360890932350976,sleep loss
414,withdrawn ,10048013,social avoidant behaviour,350167875132194816,withdrawn
415,pain,10033371,pain,351492291271213056,pain
416,sleepy,10041018,somnolence,352144946549108737,sleepy
417,did make my legs go,10038742,restless legs syndrome,351687991451860992,restless legs
418,restlessness,10038743,restlessness,351687991451860992,restlessness
419,central nervous system breakdown,10007943,nervous system disorder,332562785970049024,central nervous system disorder
420,dark night of the soul,10012374,depressed mood,349860621141028865,depressed mood
421,gaining weight,10047896,weight increased,346575368041410561,weight gain
422,dizzy,10013580,dizziness,332975105347035136,dizzy
423,lightheadeded ,10024492,dizziness,332975105347035136,lightheadedness
424,twerk me out,10070679,feeling abnormal,344177078142373888,feeling stoned
425,floatin,10016782,feeling abnormal,345093691305779200,floating feeling
426,respiratory probs,10038683,respiratory disorder,351523364428451840,respiratory disorder
427,nausea,10028813,nausea,358371997434134529,nausea
428,dilated pupils,10013014,mydriasis,358371997434134529,dilated pupils
429,blurry vision,10005889,vision blurred,358371997434134529,blurry vision
430,headaches,10019211,headache,358371997434134529,headache
431,drive me crazy,10037234,psychotic disorder,341656590757277696,psychosis
432,gain unwanted pounds,10047896,weight increased,349892793587613697,weight gain
433,water weight,10047839,fluid retention,349892793587613697,water retention
434,emotional,10014555,affect lability,349644702485716992,emotional lability
435,messed me up,10016370,malaise,347771700370370560,feeling unwell
436,panic attack,10033664,panic attack,351842240701792256,panic attack
437,like i'm having a heart attack,10019300,heart rate abnormal,351842240701792256,heart rate abnormal
438,killed my libido,10024870,loss of libido,348555717113942016,loss of libido
439,get the horn my life,10024870,loss of libido,333121777909760000,loss of libido
440,barely able to stay awake,10041014,somnolence,351724300887273472,sleepiness
441,lost 10 pounds,10047900,weight decreased,348083103367041025,weight loss
442,crippled,10049278,gait inability,333278830980648960,unable to walk
443,disable,10049278,gait inability,333278830980648960,unable to walk
444,heart stopped,10007517,cardiac arrest,342681916622909442,cardiac arrest transient
445,increase my weight,10047898,weight increased,349181683293102080,weight increase
446,crazy town,10037234,psychotic disorder,347199186548166656,psychosis
